srcip,srcport,dstip,dstport,proto,dur,sbytes,dbytes,sttl,dttl,service,Label,source_file
10.0.2.6,41336,10.0.2.9,161,udp,1.2942333019999808,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,60588,10.0.2.9,161,udp,1.8611569150000375,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39088,10.0.2.9,161,udp,2.563233886999967,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,34223,10.0.2.9,161,udp,3.887426096000013,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,51945,10.0.2.9,161,udp,2.202972588000023,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,47823,10.0.2.9,161,udp,1.281526714999984,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,41075,10.0.2.9,161,udp,3.996553145999997,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,51846,udp,3.069542799000004,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,44147,10.0.2.9,161,udp,3.1846694480000224,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,40654,udp,1.5465316669999538,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,59470,udp,171.197784931,372482,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,35462,10.0.2.9,161,udp,4.002331980000008,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.3,67,10.0.2.9,68,udp,599.412394383,1770,0,255.0,255.0,snmp,1,snmp_attack_500.csv
10.0.2.9,1900,239.255.255.250,1900,udp,450.709826397,18510,0,1.0,1.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55028,udp,1.1130336249999573,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,38146,udp,1.1542881550000177,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,35576,udp,2.3631183680000163,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,47985,udp,1.6524731399999837,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,55833,10.0.2.9,161,udp,1.858534469999995,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,34575,10.0.2.9,161,udp,1.1630106480000109,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,46615,udp,1.3746518979999678,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,44121,10.0.2.9,161,udp,1.108591778999994,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,41113,10.0.2.9,161,udp,1.562675764000005,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56434,udp,1.3142419799999914,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,52382,10.0.2.9,161,udp,3.096370221000001,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,34429,10.0.2.9,161,udp,1.390967226999976,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,39723,udp,4.278343137999968,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,34575,udp,1.162754935999999,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,46615,10.0.2.9,161,udp,1.374988586000029,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,60033,10.0.2.9,161,udp,4.047432475999983,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,58420,10.0.2.9,161,udp,1.3703542079999806,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55896,udp,2.916661860999966,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,38814,udp,3.313307746000021,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,56083,10.0.2.9,161,udp,1.2623716759999295,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,60007,10.0.2.9,161,udp,3.009052588000003,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,54398,udp,2.1532016390000024,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,55668,udp,3.424824461000071,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,48722,10.0.2.9,161,udp,4.4843952759999866,178956,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,37952,10.0.2.9,161,udp,1.2550086929999793,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,51378,udp,1.2382278589999771,186138,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,36898,10.0.2.9,161,udp,256.426655272,358204,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,41509,10.0.2.9,161,udp,1.0060962689999542,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,57218,10.0.2.9,161,udp,1.4086048930000177,179045,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,43091,10.0.2.9,161,udp,1.0930672670000376,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.6,58317,10.0.2.9,161,udp,1.23544416499999,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
8.8.8.8,53,10.0.2.9,59798,udp,0.0,156,0,255.0,255.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,50087,udp,3.3814457240000597,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,46275,udp,1.266009185999991,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,56428,udp,2.804826661999982,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,40366,udp,4.761333000000036,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,48622,udp,1.2317317170000024,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,41838,udp,2.368329005000021,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,57307,10.0.2.9,161,udp,1.4028153010000324,179248,0,64.0,64.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,50346,udp,1.2434408539999708,186228,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.9,161,10.0.2.6,49346,udp,1.3715012810000076,186344,0,128.0,128.0,snmp,1,snmp_attack_500.csv
10.0.2.6,39135,10.0.2.9,161,udp,1.3767671219999895,179134,0,64.0,64.0,snmp,1,snmp_attack_500.csv
